Subject,Start Date,Start Time,All Day Event,Description,Location,Private
"P2-12 Cardinals vs. P2-08 Padres","5/1/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-01 Athletics vs. P2-06 D-Backs","5/1/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-13 Tigers vs. P2-02 White Sox","5/2/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-03 Rockies vs. P2-05 Giants","5/2/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-14 Pirates vs. P2-04 Cubs","5/3/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-13 Tigers vs. P2-12 Cardinals","5/5/2012","9:00:00 AM","False","  ","Cooper West","False"
"P2-02 White Sox vs. P2-10 Rangers","5/5/2012","11:30:00 AM","False","  ","Cooper West","False"
"P2-11 Blue Jays vs. P2-06 D-Backs","5/5/2012","2:00:00 PM","False","  ","Cooper West","False"
"P2-09 Phillies vs. P2-14 Pirates","5/5/2012","4:30:00 PM","False","  ","Cooper West","False"
"P2-05 Giants vs. P2-07 Yankees","5/5/2012","9:00:00 AM","False","  ","Cooper East","False"
"P2-08 Padres vs. P2-01 Athletics","5/5/2012","11:30:00 AM","False","  ","Cooper East","False"
"P2-04 Cubs vs. P2-03 Rockies","5/5/2012","2:00:00 PM","False","  ","Cooper East","False"
"P2-11 Blue Jays vs. P2-08 Padres","5/8/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-03 Rockies vs. P2-09 Phillies","5/8/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-01 Athletics vs. P2-13 Tigers","5/9/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-12 Cardinals vs. P2-02 White Sox","5/9/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-14 Pirates vs. P2-06 D-Backs","5/10/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-07 Yankees vs. P2-04 Cubs","5/10/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-01 Athletics vs. P2-02 White Sox","5/19/2012","2:00:00 PM","False","  ","Cooper East","False"
"P2-10 Rangers vs. P2-05 Giants","5/12/2012","11:30:00 AM","False","  ","Cooper West","False"
"P2-12 Cardinals vs. P2-01 Athletics","5/12/2012","2:00:00 PM","False","  ","Cooper West","False"
"P2-09 Phillies vs. P2-07 Yankees","5/12/2012","4:30:00 PM","False","  ","Cooper West","False"
"P2-06 D-Backs vs. P2-03 Rockies","5/12/2012","9:00:00 AM","False","  ","Cooper East","False"
"P2-08 Padres vs. P2-14 Pirates","5/12/2012","11:30:00 AM","False","  ","Cooper East","False"
"P2-02 White Sox vs. P2-05 Giants","5/15/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-04 Cubs vs. P2-10 Rangers","5/15/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-11 Blue Jays vs. P2-12 Cardinals","5/16/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-05 Giants vs. P2-04 Cubs","5/17/2012","5:00:00 PM","False","  ","Cooper West","False"
